severity,diagnostic,panel,uses_stencil,level_ours_pct,level_his_pct,level_ratio,na_share_ours,na_share_his,change_ours,ci_lo,ci_hi,t_ours,rel_his,p_his,his_inside_our_ci,sig_ours,sig_his,sig_agree
LOG,negative_richardson,a,1,0.567924,0.37,1.53493,0.189308,0.123333,0.443855,0.145733,0.741977,3.0089,0.157,0.3,1,1,0,0
LOG,vertical_wind_shear,b,1,7.56787,8.5,0.890338,2.52262,2.83333,0.13182,0.052924,0.210715,3.3767,0.158,4e-05,1,1,1,1
LOG,colson_panofsky,c,1,0.164332,0.81,0.202879,0.0547773,0.27,0.368803,-0.114171,0.851776,1.5433,0.326,0.006,1,0,1,0
LOG,f2d,d,1,0.553398,0.57,0.970874,0.184466,0.19,0.135193,-0.152382,0.422768,0.9501,0.135,0.2,1,0,0,1
LOG,brown1,e,0,6.67838,6.6,1.01188,2.22613,2.2,0.180806,0.10553,0.256082,4.8543,0.185,2e-05,1,1,1,1
LOG,brown2,f,1,8.8256,9.4,0.938894,2.94187,3.13333,0.137499,0.066143,0.208855,3.8943,0.167,1e-05,1,1,1,1
LOG,ti1,g,1,7.63625,8.2,0.93125,2.54542,2.73333,0.150859,0.073943,0.227775,3.9639,0.166,4e-05,1,1,1,1
LOG,ti2,h,1,7.12625,7.55,0.943874,2.37542,2.51667,0.110641,0.040643,0.180639,3.1945,0.127,0.0002,1,1,1,1
LOG,deformation,i,0,5.8714,5.75,1.02111,1.95713,1.91667,0.170687,0.090758,0.250615,4.3158,0.175,0.0001,1,1,1,1
LOG,magnitude_pv,j,1,5.8499,8.1,0.72221,1.94997,2.7,0.27843,0.145055,0.411804,4.219,0.223,0.001,1,1,1,1
LOG,vorticity_squared,k,0,6.22022,6.35,0.979562,2.07341,2.11667,0.17682,0.086469,0.267171,3.9552,0.193,0.0003,1,1,1,1
LOG,temperature_gradient,l,0,9.93246,10.7,0.928267,3.31082,3.56667,0.069619,0.013869,0.125369,2.5238,0.066,0.02,1,1,1,1
LOG,wind_speed,m,0,3.07954,2.95,1.04391,1.02651,0.983333,0.327072,0.056342,0.597803,2.4416,0.319,0.03,1,1,1,1
LOG,endlich,n,1,3.52964,5.25,0.672312,1.17655,1.75,0.181203,0.095967,0.26644,4.2964,0.141,0.0002,1,1,1,1
LOG,ngm1,o,0,5.58076,5.6,0.996565,1.86025,1.86667,0.284328,0.139557,0.429098,3.9692,0.269,0.0005,1,1,1,1
LOG,ngm2,p,1,1.56848,1.9,0.825514,0.522826,0.633333,0.178506,0.002093,0.354919,2.045,0.239,0.002,1,1,1,1
LOG,ubf,q,0,2.47095,6.3,0.392214,0.82365,2.1,0.129988,0.024185,0.23579,2.483,0.184,9e-05,1,1,1,1
LOG,horizontal_divergence,r,0,3.96961,4.1,0.968197,1.3232,1.36667,0.02722,-0.047654,0.102093,0.7347,0.033,0.4,1,0,0,1
LOG,ncsu1,s,1,3.39281,2.75,1.23375,1.13094,0.916667,0.200286,0.099142,0.30143,4.002,0.207,0.0009,1,1,1,1
LOG,nva,t,0,5.03084,4.95,1.01633,1.67695,1.65,0.16871,0.071741,0.26568,3.5162,0.161,0.002,1,1,1,1
LOG,rva_magnitude,u,0,5.47608,5.4,1.01409,1.82536,1.8,0.198025,0.081705,0.314346,3.4406,0.19,0.002,1,1,1,1
MOG,negative_richardson,a,1,0.01925,0.039,0.49359,0.048125,0.0975,0.405708,-0.413941,1.22536,1.0003,-0.075,0.6,1,0,0,1
MOG,vertical_wind_shear,b,1,1.42871,1.68,0.850425,3.57178,4.2,0.390097,0.234725,0.545468,5.0742,0.384,8e-07,1,1,1,1
MOG,colson_panofsky,c,1,0.039273,0.285,0.1378,0.0981825,0.7125,0.623095,-0.056876,1.30307,1.852,0.454,0.002,1,0,1,0
MOG,f2d,d,1,0.033932,0.055,0.616945,0.08483,0.1375,0.249554,-0.307171,0.806278,0.9059,0.003,1,1,0,0,1
