diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.05849901,0.07478687,0.278430,0.145055,0.411804,4.2190,0.3080,0.075,132
colson_panofsky,0.00164332,0.00224938,0.368803,-0.114171,0.851776,1.5433,0.0562,0.056,148
brown1,0.06678380,0.07885871,0.180806,0.105530,0.256082,4.8543,0.3707,0.592,67
temperature_gradient,0.09932461,0.10623949,0.069619,0.013869,0.125369,2.5238,0.1374,1.349,68
horizontal_divergence,0.03969608,0.04077661,0.027220,-0.047654,0.102093,0.7347,0.0133,0.572,38
vertical_wind_shear,0.07567872,0.08565466,0.131820,0.052924,0.210715,3.3767,0.2218,2.321,49
endlich,0.03529638,0.04169220,0.181203,0.095967,0.266440,4.2964,0.3158,0.785,95
deformation,0.05871397,0.06873567,0.170687,0.090758,0.250615,4.3158,0.3177,0.642,58
wind_speed,0.03079542,0.04086775,0.327072,0.056342,0.597803,2.4416,0.1297,0.713,105
ngm2,0.01568477,0.01848459,0.178506,0.002093,0.354919,2.0450,0.0947,0.115,56
negative_richardson,0.00567924,0.00820001,0.443855,0.145733,0.741977,3.0089,0.1846,0.022,176
rva_magnitude,0.05476084,0.06560486,0.198025,0.081705,0.314346,3.4406,0.2284,0.857,91
ubf,0.02470949,0.02792142,0.129988,0.024185,0.235790,2.4830,0.1335,0.249,11
nva,0.05030843,0.05879598,0.168710,0.071741,0.265680,3.5162,0.2361,0.827,77
brown2,0.08825604,0.10039114,0.137499,0.066143,0.208855,3.8943,0.2749,1.993,52
vorticity_squared,0.06220219,0.07320079,0.176820,0.086469,0.267171,3.9552,0.2811,0.236,99
ti1,0.07636249,0.08788249,0.150859,0.073943,0.227775,3.9639,0.2820,1.639,51
ngm1,0.05580764,0.07167531,0.284328,0.139557,0.429098,3.9692,0.2826,1.234,82
ti2,0.07126247,0.07914700,0.110641,0.040643,0.180639,3.1945,0.2033,1.566,46
f2d,0.00553398,0.00628213,0.135193,-0.152382,0.422768,0.9501,0.0221,0.026,226
ncsu1,0.03392806,0.04072336,0.200286,0.099142,0.301430,4.0020,0.2859,0.61,54
