year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.04311857,0.00118891,0.06432397,0.08749516,0.03474189,0.06800807,0.02977935,0.05415275,0.03222229,0.01295445,0.00511369,0.04905772,0.02193495,0.04597939,0.08055052,0.05879853,0.06996499,0.05233175,0.06532396,0.00483837,0.03203634,0.04351979
1980,0.06614108,0.00250340,0.06684582,0.10478470,0.04234994,0.07933075,0.03921147,0.06033365,0.03026187,0.01722898,0.00635104,0.06301075,0.02823921,0.05624780,0.09165665,0.06104912,0.07971053,0.05856329,0.07438194,0.00715147,0.03474333,0.05095699
1981,0.05420815,0.00229503,0.06884324,0.09640218,0.03965713,0.07162056,0.03657276,0.06105047,0.02922299,0.01853118,0.00661812,0.05708192,0.02413182,0.05162868,0.08473402,0.06680644,0.07502003,0.05427937,0.06988731,0.00720182,0.03750659,0.04825237
1982,0.06453864,0.00193183,0.06491210,0.10520993,0.04179494,0.08468144,0.03780769,0.05879688,0.03478005,0.01583344,0.00737551,0.05908076,0.02604209,0.05390459,0.09595679,0.05916933,0.08195228,0.06244057,0.07611513,0.00612791,0.03751292,0.05123642
1983,0.05865824,0.00158193,0.06860417,0.10144983,0.03833568,0.07656033,0.03698585,0.06186720,0.02579541,0.01876784,0.00548828,0.05472069,0.02205157,0.05025431,0.08940312,0.06951345,0.07688322,0.05118586,0.07225113,0.00559218,0.03389691,0.04856415
1984,0.05537617,0.00104606,0.06763855,0.09871629,0.03993700,0.07774426,0.03559804,0.05925851,0.03329443,0.01470996,0.00506901,0.05439947,0.02462762,0.04977812,0.08948314,0.06411226,0.07810623,0.05815978,0.07277628,0.00456317,0.03453911,0.04852064
1985,0.06673062,0.00097224,0.06731712,0.10894196,0.03916082,0.08016073,0.03129952,0.05716669,0.02992345,0.01260266,0.00499403,0.05467811,0.02644316,0.05068800,0.09372112,0.05870991,0.07985816,0.05594385,0.07368477,0.00375755,0.03230585,0.04900287
1986,0.06144534,0.00213414,0.07091278,0.10207039,0.04204051,0.07979108,0.04025222,0.06258706,0.04016494,0.01816729,0.00674380,0.06446831,0.02715739,0.05824297,0.09303483,0.06604993,0.08022882,0.06770832,0.07423125,0.00767755,0.03956020,0.05260329
1987,0.06399237,0.00334338,0.07146621,0.10048721,0.04084413,0.07904726,0.03696436,0.06282894,0.03163925,0.01728334,0.00941753,0.05913726,0.02600674,0.05332747,0.09335168,0.06646588,0.08188004,0.06123944,0.07427190,0.00796132,0.03711535,0.05133672
1988,0.06661738,0.00139932,0.06979681,0.10502471,0.04075499,0.08123350,0.03898602,0.06080675,0.03531949,0.01533040,0.00583407,0.05833805,0.02590139,0.05311540,0.09445532,0.06224644,0.08118215,0.06176031,0.07550733,0.00509131,0.03372881,0.05106809
1989,0.06066359,0.00148747,0.06944303,0.10116927,0.04026109,0.07808769,0.03748912,0.06071207,0.04106626,0.01612819,0.00519309,0.05598958,0.02735017,0.05156129,0.08978049,0.06576107,0.07754245,0.06125147,0.07247422,0.00438157,0.03212596,0.04999615
1990,0.07387472,0.00207215,0.06992661,0.09774080,0.03794065,0.07316286,0.03538215,0.06085096,0.03993005,0.01739377,0.00607911,0.05804090,0.02496074,0.05310340,0.08559258,0.06674735,0.07475000,0.06177521,0.06999205,0.00634707,0.03479351,0.05002174
1991,0.06826550,0.00149346,0.07267264,0.09976270,0.04160728,0.07790468,0.03574222,0.06342014,0.03693356,0.01761566,0.00666020,0.06212659,0.02739638,0.05651742,0.09211027,0.06814553,0.08030075,0.06423120,0.07377695,0.00559120,0.03684931,0.05186303
1992,0.07309764,0.00106893,0.06788025,0.10551667,0.04291118,0.08605944,0.04073918,0.06211522,0.02888711,0.01756991,0.00573390,0.06020117,0.02650958,0.05492391,0.09713515,0.06200696,0.08297912,0.05909196,0.07751922,0.00463374,0.03654911,0.05205378
1993,0.06058777,0.00203635,0.07780156,0.10073916,0.04304382,0.08458999,0.03969787,0.06922720,0.03506273,0.01955586,0.00827356,0.06307056,0.02717566,0.05694181,0.09921811,0.07612954,0.08808568,0.06575239,0.08158371,0.00730416,0.04095811,0.05461122
1994,0.07505131,0.00274744,0.07855887,0.10180404,0.04399491,0.08294861,0.03945623,0.06771603,0.04927559,0.01975352,0.00912477,0.06514397,0.02808405,0.05831649,0.09776688,0.07349366,0.08740171,0.07754641,0.07944190,0.00808797,0.04148081,0.05653310
1995,0.06132994,0.00162842,0.07613972,0.09740010,0.04064166,0.07388972,0.03779722,0.06615667,0.03016804,0.01809727,0.00560965,0.05845229,0.02543266,0.05312731,0.08794249,0.07030017,0.07825091,0.05979198,0.07173492,0.00533112,0.03592666,0.05024519
