diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.02571293,0.03399673,0.322165,0.161818,0.482512,4.0605,0.2919,0.075,132
colson_panofsky,0.00066443,0.00101751,0.531401,-0.070944,1.133747,1.7830,0.0736,0.056,148
brown1,0.01906994,0.02505985,0.314102,0.206620,0.421585,5.9061,0.4658,0.592,67
temperature_gradient,0.03488370,0.04127343,0.183172,0.096367,0.269977,4.2646,0.3126,1.349,68
horizontal_divergence,0.01191049,0.01249217,0.048838,-0.045515,0.143191,1.0461,0.0266,0.572,38
vertical_wind_shear,0.02839855,0.03620117,0.274754,0.154006,0.395503,4.5986,0.3458,2.321,49
endlich,0.01066391,0.01382187,0.296136,0.174138,0.418134,4.9057,0.3756,0.785,95
deformation,0.01706025,0.02185543,0.281073,0.171472,0.390674,5.1829,0.4018,0.642,58
wind_speed,0.00703932,0.01102037,0.565544,0.124276,1.006812,2.5902,0.1436,0.713,105
ngm2,0.00390402,0.00478069,0.224555,0.015367,0.433743,2.1695,0.1053,0.115,56
negative_richardson,0.00071517,0.00110679,0.547590,-0.040397,1.135576,1.8822,0.0814,0.022,176
rva_magnitude,0.01771818,0.02231057,0.259191,0.103840,0.414543,3.3719,0.2213,0.857,91
ubf,0.00484801,0.00572655,0.181216,0.036453,0.325980,2.5299,0.1379,0.249,11
nva,0.01648039,0.02045624,0.241247,0.102937,0.379557,3.5251,0.2370,0.827,77
brown2,0.03117872,0.04071184,0.305757,0.189327,0.422187,5.3074,0.4132,1.993,52
vorticity_squared,0.01449303,0.01823593,0.258255,0.140006,0.376504,4.4138,0.3275,0.236,99
ti1,0.02645983,0.03456915,0.306477,0.187042,0.425911,5.1860,0.4020,1.639,51
ngm1,0.01734992,0.02458985,0.417289,0.211760,0.622817,4.1033,0.2962,1.234,82
ti2,0.02525241,0.03065149,0.213805,0.107907,0.319703,4.0803,0.2939,1.566,46
f2d,0.00104229,0.00126535,0.214012,-0.218598,0.646622,0.9998,0.0244,0.026,226
ncsu1,0.01029488,0.01353014,0.314259,0.164485,0.464032,4.2405,0.3101,0.61,54
