year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.01765039,0.00044543,0.01812931,0.02933142,0.01000205,0.02520874,0.00840140,0.01515321,0.00791930,0.00296993,0.00049669,0.01513827,0.00416525,0.01442477,0.02852612,0.01367554,0.02431493,0.01607598,0.02293913,0.00074025,0.00943113,0.01357806
1980,0.03041589,0.00096888,0.01949927,0.03682228,0.01296890,0.02905907,0.01177917,0.01815445,0.00629942,0.00440082,0.00102418,0.02169885,0.00582359,0.01966460,0.03206585,0.01434905,0.02771304,0.01883207,0.02648322,0.00166485,0.01058002,0.01667940
1981,0.02275112,0.00095084,0.02005663,0.03293659,0.01194911,0.02654427,0.01108844,0.01798134,0.00701135,0.00479614,0.00100555,0.01919467,0.00470706,0.01751180,0.02939763,0.01522561,0.02562493,0.01712066,0.02410222,0.00158418,0.01196249,0.01540489
1982,0.02766916,0.00084102,0.01927291,0.03910344,0.01271952,0.03414785,0.01223822,0.01776995,0.00756938,0.00410532,0.00091538,0.01946253,0.00522126,0.01807921,0.03608691,0.01370056,0.02995009,0.02015649,0.02840848,0.00110468,0.01175733,0.01715618
1983,0.02566015,0.00060230,0.01976936,0.03576982,0.01112688,0.02799694,0.01118795,0.01782241,0.00594144,0.00476069,0.00065550,0.01752276,0.00425906,0.01631024,0.03095012,0.01610606,0.02585953,0.01600531,0.02495391,0.00104114,0.01005444,0.01544552
1984,0.02432207,0.00042749,0.01885730,0.03558598,0.01185205,0.02950899,0.01096932,0.01676677,0.00767777,0.00344608,0.00047050,0.01724676,0.00473945,0.01607682,0.03224308,0.01444084,0.02728282,0.01796450,0.02602292,0.00076415,0.01044920,0.01557690
1985,0.02985987,0.00037125,0.01912714,0.04022464,0.01166061,0.03173484,0.00952544,0.01658316,0.00570834,0.00311536,0.00040774,0.01770907,0.00524158,0.01677068,0.03531847,0.01417805,0.02915435,0.01665990,0.02704342,0.00067108,0.01010721,0.01624630
1986,0.02664385,0.00075621,0.02088926,0.03778181,0.01266522,0.03093149,0.01269360,0.01854498,0.01110790,0.00452961,0.00081231,0.02170403,0.00536756,0.01999913,0.03365707,0.01585186,0.02822574,0.02198859,0.02665102,0.00162052,0.01273854,0.01738859
1987,0.02860769,0.00160284,0.02174082,0.03539706,0.01270417,0.03094691,0.01184546,0.01939712,0.00620639,0.00458017,0.00171109,0.02008372,0.00526138,0.01818031,0.03503377,0.01636326,0.03068352,0.02065228,0.02803151,0.00174426,0.01197878,0.01727393
1988,0.03087088,0.00059854,0.01977758,0.03725245,0.01221391,0.03029951,0.01210670,0.01775656,0.00844377,0.00375732,0.00065825,0.01898230,0.00510187,0.01756022,0.03315178,0.01463275,0.02809241,0.01975175,0.02692145,0.00080809,0.01004612,0.01660877
1989,0.02752588,0.00075936,0.01933565,0.03671480,0.01221767,0.02977463,0.01126027,0.01713517,0.01151286,0.00400983,0.00080643,0.01804162,0.00561824,0.01683881,0.03188281,0.01456158,0.02647719,0.01871135,0.02547989,0.00083032,0.00942778,0.01613915
1990,0.03430657,0.00071574,0.02117856,0.03607149,0.01112397,0.02905777,0.01095912,0.01851312,0.01083156,0.00463414,0.00076620,0.01897048,0.00474623,0.01754986,0.03170140,0.01599282,0.02687640,0.01970627,0.02526584,0.00124285,0.01077264,0.01671348
1991,0.03099183,0.00061306,0.02222852,0.03643033,0.01262841,0.03156650,0.01068257,0.01965459,0.00766981,0.00442310,0.00068215,0.02048274,0.00554892,0.01890369,0.03472830,0.01640274,0.02964795,0.02122513,0.02717791,0.00087574,0.01159712,0.01734100
1992,0.03201344,0.00044335,0.01908318,0.03906872,0.01305643,0.03474046,0.01268782,0.01785259,0.00595926,0.00426113,0.00049595,0.01984639,0.00519006,0.01836347,0.03627938,0.01396802,0.02992248,0.01790174,0.02844154,0.00066834,0.01095543,0.01719996
1993,0.02649303,0.00090414,0.02396161,0.03623824,0.01292270,0.03366574,0.01260259,0.02147195,0.00866323,0.00492145,0.00099472,0.02089066,0.00548700,0.01923655,0.03786081,0.01829210,0.03311681,0.02215665,0.03060110,0.00121647,0.01326551,0.01833157
1994,0.03445735,0.00108832,0.02268669,0.03732512,0.01363480,0.03501796,0.01321583,0.02066032,0.01378068,0.00499416,0.00119147,0.02203419,0.00563869,0.02007544,0.03926763,0.01682809,0.03370427,0.02658436,0.03063159,0.00168992,0.01411642,0.01945825
1995,0.02732210,0.00060192,0.02307939,0.03493600,0.01222234,0.02846456,0.01165315,0.01964957,0.00753280,0.00452409,0.00064677,0.01947074,0.00498139,0.01792308,0.03216704,0.01838446,0.02795921,0.01881173,0.02574041,0.00101783,0.01119266,0.01658482
1996,0.02353516,0.00079256,0.02262836,0.03392447,0.01156197,0.03104478,0.01124350,0.01950036,0.01124220,0.00395575,0.00085245,0.01727588,0.00460275,0.01596394,0.03567967,0.01697848,0.03082390,0.02108658,0.02825933,0.00089508,0.01181104,0.01684087
1997,0.03283974,0.00108807,0.02625241,0.03988074,0.01377247,0.03524100,0.01409604,0.02302061,0.01009362,0.00499034,0.00117466,0.02160571,0.00620003,0.01980307,0.03985154,0.01967232,0.03466657,0.02383327,0.03144793,0.00137088,0.01301666,0.01971036
1998,0.03420070,0.00061401,0.02188601,0.03531247,0.01209169,0.03054070,0.01201098,0.01925811,0.00956794,0.00371519,0.00067110,0.02014650,0.00519037,0.01860058,0.03413379,0.01530268,0.02915707,0.02250952,0.02663902,0.00114210,0.01184722,0.01735894
1999,0.02525461,0.00046126,0.01772182,0.03852688,0.01032270,0.02850145,0.01041190,0.01518155,0.00685440,0.00301254,0.00050855,0.01516636,0.00425617,0.01441992,0.03151661,0.01291701,0.02545736,0.01577171,0.02421366,0.00072289,0.00978023,0.01480855
2000,0.02284109,0.00080723,0.01889133,0.03366744,0.01144263,0.02701228,0.01153017,0.01696619,0.00988481,0.00438306,0.00086571,0.01701412,0.00521046,0.01600284,0.03122573,0.01431081,0.02684313,0.01956078,0.02460812,0.00119406,0.01093068,0.01548536
2001,0.03227652,0.00033198,0.02004343,0.03829569,0.01125126,0.02996993,0.01052453,0.01736884,0.00464294,0.00332237,0.00037681,0.01656762,0.00448769,0.01577669,0.03308463,0.01525589,0.02765898,0.01607421,0.02543004,0.00051991,0.01016049,0.01587716
2002,0.03370169,0.00148608,0.02472530,0.04424881,0.01349280,0.03840917,0.01462397,0.02173173,0.00859407,0.00437321,0.00159357,0.02287511,0.00600987,0.02084165,0.04273183,0.01819483,0.03592877,0.02295456,0.03219635,0.00126770,0.01314813,0.02014901
