diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.01401847,0.01988407,0.418420,0.236442,0.600397,4.6469,0.3506,0.075,132
colson_panofsky,0.00039273,0.00063744,0.623095,-0.056876,1.303066,1.8520,0.0790,0.056,148
brown1,0.00770655,0.01113020,0.444252,0.305830,0.582674,6.4862,0.5126,0.592,67
temperature_gradient,0.01596772,0.02029917,0.271263,0.159000,0.383526,4.8834,0.3735,1.349,68
horizontal_divergence,0.00518589,0.00546173,0.053189,-0.053265,0.159644,1.0098,0.0249,0.572,38
vertical_wind_shear,0.01428714,0.01986051,0.390097,0.234725,0.545468,5.0742,0.3916,2.321,49
endlich,0.00470174,0.00647302,0.376728,0.230931,0.522526,5.2221,0.4054,0.785,95
deformation,0.00704201,0.00964237,0.369265,0.234155,0.504374,5.5235,0.4327,0.642,58
wind_speed,0.00264026,0.00459223,0.739307,0.156084,1.322531,2.5619,0.1410,0.713,105
ngm2,0.00149307,0.00190920,0.278711,0.052139,0.505284,2.4861,0.1338,0.115,56
negative_richardson,0.00019250,0.00027060,0.405708,-0.413941,1.225358,1.0003,0.0244,0.022,176
rva_magnitude,0.00801821,0.01036392,0.292548,0.111125,0.473970,3.2589,0.2098,0.857,91
ubf,0.00138234,0.00165953,0.200528,0.026725,0.374331,2.3318,0.1197,0.249,11
nva,0.00753625,0.00971063,0.288524,0.123508,0.453539,3.5336,0.2379,0.827,77
brown2,0.01464023,0.02138046,0.460391,0.304168,0.616613,5.9559,0.4700,1.993,52
vorticity_squared,0.00559130,0.00774812,0.385745,0.240370,0.531121,5.3626,0.4182,0.236,99
ti1,0.01232379,0.01776229,0.441301,0.284172,0.598430,5.6760,0.4461,1.639,51
ngm1,0.00778751,0.01184593,0.521145,0.265882,0.776408,4.1261,0.2985,1.234,82
ti2,0.01198048,0.01545408,0.289939,0.155548,0.424329,4.3602,0.3222,1.566,46
f2d,0.00033932,0.00042400,0.249554,-0.307171,0.806278,0.9059,0.0201,0.026,226
ncsu1,0.00446386,0.00618812,0.386272,0.200302,0.572242,4.1977,0.3058,0.61,54
