year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.00935910,0.00027811,0.00703953,0.01287177,0.00424980,0.01268445,0.00356655,0.00600032,0.00296602,0.00109455,0.00008909,0.00660493,0.00117626,0.00633374,0.01343553,0.00518725,0.01127758,0.00724316,0.01078834,0.00019378,0.00399168,0.00602055
1980,0.01725240,0.00052687,0.00810194,0.01718899,0.00575722,0.01439088,0.00517745,0.00768697,0.00193682,0.00170880,0.00027556,0.01027836,0.00174870,0.00939948,0.01515281,0.00557351,0.01303552,0.00846626,0.01271351,0.00057979,0.00458846,0.00769239
1981,0.01240475,0.00049697,0.00803564,0.01467544,0.00519668,0.01331894,0.00488323,0.00734039,0.00264250,0.00185648,0.00035076,0.00890942,0.00131346,0.00822536,0.01395282,0.00561090,0.01199756,0.00777634,0.01139550,0.00060352,0.00532832,0.00696738
1982,0.01516039,0.00054542,0.00803021,0.01858404,0.00555743,0.01834622,0.00551308,0.00755560,0.00253998,0.00161825,0.00020941,0.00882756,0.00148880,0.00835709,0.01791740,0.00527896,0.01458803,0.00926793,0.01402294,0.00036348,0.00510114,0.00804159
1983,0.01446351,0.00035064,0.00819884,0.01640337,0.00477705,0.01358684,0.00500572,0.00738166,0.00234311,0.00179298,0.00012979,0.00782653,0.00125607,0.00738652,0.01413532,0.00640621,0.01168572,0.00724035,0.01142959,0.00028906,0.00429339,0.00697058
1984,0.01367104,0.00025142,0.00746566,0.01665081,0.00510373,0.01487293,0.00474091,0.00668771,0.00341938,0.00126495,0.00010737,0.00766576,0.00132896,0.00728849,0.01539989,0.00537309,0.01263997,0.00782892,0.01241576,0.00022762,0.00435333,0.00708370
1985,0.01700748,0.00019798,0.00770023,0.01925922,0.00501441,0.01664639,0.00431183,0.00674249,0.00187040,0.00116766,0.00008229,0.00797411,0.00150355,0.00774180,0.01743575,0.00563268,0.01408169,0.00719529,0.01307312,0.00022778,0.00449141,0.00758845
1986,0.01433090,0.00037152,0.00866672,0.01807540,0.00545566,0.01586829,0.00561508,0.00775342,0.00471539,0.00172076,0.00018341,0.01011991,0.00147013,0.00942150,0.01620117,0.00628859,0.01341691,0.01027870,0.01280048,0.00053712,0.00576464,0.00805027
1987,0.01580877,0.00105581,0.00917493,0.01601938,0.00564635,0.01648799,0.00543041,0.00835502,0.00174786,0.00179552,0.00055028,0.00947991,0.00152554,0.00860029,0.01762527,0.00639587,0.01539588,0.00982614,0.01417686,0.00059321,0.00543766,0.00814900
1988,0.01741748,0.00036566,0.00804543,0.01698402,0.00536403,0.01487122,0.00549891,0.00747805,0.00345022,0.00146223,0.00013714,0.00850676,0.00146612,0.00796709,0.01531626,0.00564547,0.01305574,0.00893082,0.01277572,0.00023378,0.00425328,0.00758216
1989,0.01515778,0.00049765,0.00783128,0.01728817,0.00542421,0.01516461,0.00498245,0.00706550,0.00533639,0.00154045,0.00029909,0.00813799,0.00169707,0.00767159,0.01498732,0.00558094,0.01227296,0.00824418,0.01213490,0.00031488,0.00399272,0.00741058
1990,0.01970156,0.00038570,0.00914759,0.01732354,0.00475220,0.01524727,0.00488610,0.00802050,0.00450673,0.00189908,0.00019087,0.00863061,0.00131161,0.00807825,0.01558656,0.00657888,0.01304487,0.00924774,0.01200632,0.00038672,0.00472108,0.00788828
1991,0.01735583,0.00039164,0.00949716,0.01698250,0.00546785,0.01714508,0.00463794,0.00849492,0.00225618,0.00173777,0.00012793,0.00933784,0.00160235,0.00870882,0.01752309,0.00665119,0.01473258,0.00991608,0.01331794,0.00026062,0.00514899,0.00815687
1992,0.01708613,0.00027147,0.00771500,0.01845746,0.00572055,0.01827302,0.00561530,0.00738039,0.00168431,0.00161594,0.00008614,0.00909354,0.00147250,0.00854064,0.01765921,0.00541829,0.01438385,0.00779933,0.01370753,0.00018824,0.00470972,0.00794660
1993,0.01474590,0.00058395,0.01030434,0.01685246,0.00559925,0.01769098,0.00570377,0.00924776,0.00344810,0.00187793,0.00019939,0.00951726,0.00160291,0.00892300,0.01891781,0.00739476,0.01634730,0.01059060,0.01495621,0.00031581,0.00602972,0.00861187
1994,0.01884321,0.00065972,0.00936697,0.01766041,0.00598285,0.01933020,0.00627203,0.00881103,0.00575843,0.00190525,0.00026513,0.01023444,0.00160522,0.00944533,0.02034227,0.00641800,0.01695416,0.01264855,0.01536674,0.00053049,0.00661634,0.00928651
1995,0.01516955,0.00034979,0.00969975,0.01620520,0.00526262,0.01483740,0.00521685,0.00815524,0.00277070,0.00173535,0.00017176,0.00900870,0.00138896,0.00841241,0.01550829,0.00791693,0.01315792,0.00844969,0.01221112,0.00033248,0.00503278,0.00766636
1996,0.01288119,0.00051727,0.00972801,0.01572454,0.00503258,0.01602402,0.00509922,0.00848083,0.00559579,0.00156718,0.00025180,0.00775201,0.00127002,0.00730485,0.01787739,0.00701631,0.01533757,0.01019046,0.01392117,0.00030528,0.00525829,0.00795885
1997,0.01856531,0.00074114,0.01185527,0.01948063,0.00616471,0.01889961,0.00664053,0.01041230,0.00453804,0.00202381,0.00035619,0.01014332,0.00181713,0.00952015,0.02047750,0.00850765,0.01777503,0.01175454,0.01604627,0.00043682,0.00604838,0.00962878
1998,0.01929724,0.00032278,0.00955879,0.01623742,0.00533251,0.01584426,0.00539394,0.00836149,0.00451426,0.00142670,0.00014413,0.00937503,0.00151369,0.00878338,0.01692484,0.00632540,0.01451174,0.01122165,0.01314472,0.00035901,0.00551923,0.00829106
1999,0.01397299,0.00025123,0.00731952,0.01817765,0.00437366,0.01416233,0.00462815,0.00641347,0.00277858,0.00118912,0.00009994,0.00664211,0.00119591,0.00644570,0.01476231,0.00514520,0.01177900,0.00710229,0.01134917,0.00021216,0.00428103,0.00677531
2000,0.01225606,0.00044606,0.00783763,0.01582137,0.00511205,0.01368611,0.00536474,0.00713565,0.00354742,0.00170539,0.00021487,0.00755627,0.00152397,0.00728459,0.01511363,0.00564872,0.01296864,0.00918657,0.01206445,0.00041506,0.00489955,0.00713280
2001,0.01802281,0.00020872,0.00808270,0.01790924,0.00486073,0.01549430,0.00476078,0.00709271,0.00119060,0.00121245,0.00005340,0.00732081,0.00123866,0.00706854,0.01601964,0.00637437,0.01309153,0.00686191,0.01196316,0.00012860,0.00429627,0.00729771
2002,0.02043582,0.00105554,0.01094824,0.02204924,0.00594015,0.02064669,0.00697507,0.00957278,0.00340419,0.00174856,0.00051156,0.01082113,0.00174182,0.01001549,0.02192237,0.00783498,0.01813080,0.01098139,0.01625325,0.00047048,0.00591813,0.00987513
2003,0.01835067,0.00125201,0.01004709,0.02086766,0.00626532,0.01919517,0.00632303,0.00916219,0.00352500,0.00234828,0.00079425,0.01070298,0.00180959,0.00989611,0.02082519,0.00712571,0.01735021,0.01159656,0.01550317,0.00094128,0.00670697,0.00955183
2004,0.01735637,0.00038425,0.00878550,0.01933391,0.00494378,0.01514968,0.00503194,0.00778344,0.00223643,0.00176835,0.00023243,0.00833873,0.00126490,0.00784142,0.01589159,0.00647786,0.01295692,0.00736988,0.01200096,0.00054641,0.00480874,0.00764302
2005,0.01615973,0.00042234,0.01013754,0.01731218,0.00509349,0.01449991,0.00581153,0.00865806,0.00218410,0.00159101,0.00015315,0.00807724,0.00133940,0.00753340,0.01607041,0.00745944,0.01363038,0.00835147,0.01183595,0.00024390,0.00480870,0.00768444
2006,0.01700062,0.00063151,0.01038688,0.01816073,0.00526488,0.01802487,0.00604190,0.00919768,0.00329781,0.00184384,0.00022526,0.00860326,0.00158172,0.00812502,0.01911192,0.00704774,0.01610561,0.01026384,0.01408274,0.00039402,0.00531968,0.00860531
2007,0.01882983,0.00038056,0.00966421,0.02091986,0.00584204,0.01711399,0.00520822,0.00841664,0.00406842,0.00142873,0.00012762,0.00934958,0.00186914,0.00891949,0.01841155,0.00717463,0.01526000,0.00880232,0.01388647,0.00020551,0.00495853,0.00861130
2008,0.01516040,0.00031167,0.00948000,0.01727618,0.00473307,0.01734105,0.00585635,0.00794783,0.00256285,0.00150760,0.00013511,0.00762317,0.00125318,0.00728141,0.01761778,0.00655113,0.01451940,0.00831372,0.01307018,0.00028881,0.00476941,0.00779049
2009,0.01826319,0.00046191,0.00922626,0.01992807,0.00502100,0.02042386,0.00534312,0.00817162,0.00459433,0.00163642,0.00015085,0.00865712,0.00147980,0.00818548,0.02117342,0.00627838,0.01694233,0.01020840,0.01502279,0.00025976,0.00520568,0.00888732
2010,0.01798393,0.00023378,0.01050510,0.01745962,0.00507880,0.01424656,0.00548690,0.00931781,0.00233720,0.00131354,0.00007958,0.00845120,0.00143892,0.00807857,0.01663095,0.00733630,0.01473352,0.00961465,0.01316805,0.00017930,0.00512462,0.00803804
2011,0.01293012,0.00033568,0.00832544,0.01637708,0.00432586,0.01649414,0.00588553,0.00726325,0.00420595,0.00101921,0.00009213,0.00758667,0.00116506,0.00754818,0.01622225,0.00545746,0.01325983,0.00838937,0.01217838,0.00007432,0.00415171,0.00729941
2012,0.01618272,0.00023500,0.00852753,0.01965452,0.00449817,0.01649294,0.00563666,0.00752622,0.00103592,0.00133353,0.00009579,0.00773381,0.00115840,0.00740797,0.01700280,0.00616751,0.01354469,0.00660014,0.01216458,0.00017243,0.00485738,0.00752518
2013,0.01874073,0.00058471,0.01049944,0.01787709,0.00485594,0.01810316,0.00517677,0.00911563,0.00642977,0.00182394,0.00023365,0.00934777,0.00168036,0.00871046,0.01984940,0.00680675,0.01695479,0.01187238,0.01452148,0.00034954,0.00546216,0.00899981
2014,0.01846300,0.00097046,0.01199428,0.01798730,0.00548790,0.02078549,0.00679016,0.01040459,0.00617680,0.00215575,0.00043107,0.01115239,0.00169390,0.01022401,0.02228106,0.00844271,0.01907924,0.01413778,0.01671607,0.00062344,0.00654089,0.01012087
2015,0.02072657,0.00070270,0.01183790,0.02068078,0.00561353,0.02092327,0.00611626,0.01035599,0.00636004,0.00241663,0.00028084,0.01122631,0.00181840,0.01046521,0.02257863,0.00803504,0.01839952,0.01449317,0.01584736,0.00054208,0.00700478,0.01030595
2016,0.02045919,0.00074637,0.01126379,0.01884143,0.00597737,0.01932923,0.00677354,0.00981797,0.00677616,0.00221605,0.00042259,0.01235551,0.00180457,0.01138858,0.02087395,0.00757176,0.01767021,0.01369989,0.01529384,0.00071009,0.00681092,0.01003824
2017,0.01846028,0.00057519,0.01097525,0.02109535,0.00548670,0.01868972,0.00553140,0.00952186,0.00217239,0.00201041,0.00028908,0.01046480,0.00153283,0.00964919,0.02033504,0.00761817,0.01667455,0.00993500,0.01499129,0.00047202,0.00570826,0.00915185
2018,0.01943157,0.00110211,0.01187715,0.02143656,0.00634897,0.02331554,0.00782396,0.01054474,0.00578953,0.00207550,0.00040946,0.01261193,0.00224167,0.01160726,0.02496215,0.00787861,0.02083731,0.01463916,0.01854522,0.00051450,0.00747434,0.01102225
2019,0.02518677,0.00064320,0.01145747,0.02408944,0.00597748,0.02393870,0.00712741,0.00983369,0.00360391,0.00213325,0.00024817,0.01247045,0.00188739,0.01179969,0.02553382,0.00853583,0.02053093,0.01226077,0.01756782,0.00049772,0.00716711,0.01107100
2020,0.02190049,0.00053720,0.01122957,0.01942478,0.00563738,0.01951344,0.00678540,0.00970648,0.00556439,0.00215854,0.00023693,0.01150739,0.00160068,0.01059890,0.02086823,0.00795848,0.01769565,0.01350479,0.01569476,0.00050886,0.00673607,0.00996992
