diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.00794271,0.01227770,0.545783,0.337225,0.754340,5.2888,0.4115,0.075,132
colson_panofsky,0.00024681,0.00041322,0.674227,-0.077911,1.426364,1.8117,0.0758,0.056,148
brown1,0.00341116,0.00537603,0.576014,0.405975,0.746053,6.8462,0.5395,0.592,67
temperature_gradient,0.00780449,0.01051291,0.347034,0.210780,0.483287,5.1474,0.3985,1.349,68
horizontal_divergence,0.00245868,0.00260370,0.058982,-0.059275,0.177239,1.0080,0.0248,0.572,38
vertical_wind_shear,0.00780888,0.01167944,0.495662,0.303845,0.687478,5.2224,0.4054,2.321,49
endlich,0.00226475,0.00331656,0.464430,0.294040,0.634820,5.5086,0.4314,0.785,95
deformation,0.00319201,0.00464654,0.455678,0.295198,0.616158,5.7386,0.4515,0.642,58
wind_speed,0.00114432,0.00214676,0.876007,0.142077,1.609937,2.4122,0.1270,0.713,105
ngm2,0.00066142,0.00087195,0.318295,0.080977,0.555613,2.7106,0.1552,0.115,56
negative_richardson,0.00007254,0.00009009,0.242054,-0.692970,1.177079,0.5232,0.0068,0.022,176
rva_magnitude,0.00396590,0.00522747,0.318105,0.114251,0.521959,3.1537,0.1991,0.857,91
ubf,0.00041045,0.00049185,0.198311,-0.005422,0.402044,1.9672,0.0882,0.249,11
nva,0.00377539,0.00499535,0.323136,0.134438,0.511834,3.4609,0.2304,0.827,77
brown2,0.00743127,0.01198505,0.612787,0.414910,0.810665,6.2586,0.4948,1.993,52
vorticity_squared,0.00244438,0.00375967,0.538091,0.362779,0.713403,6.2031,0.4903,0.236,99
ti1,0.00623186,0.00975663,0.565606,0.370367,0.760844,5.8548,0.4615,1.639,51
ngm1,0.00385449,0.00630061,0.634613,0.326325,0.942901,4.1602,0.3020,1.234,82
ti2,0.00617348,0.00834575,0.351871,0.187687,0.516055,4.3313,0.3193,1.566,46
f2d,0.00012789,0.00015787,0.234446,-0.410644,0.879535,0.7345,0.0133,0.026,226
ncsu1,0.00210783,0.00302591,0.435560,0.216348,0.654773,4.0156,0.2873,0.61,54
