year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.00525760,0.00017536,0.00298505,0.00601287,0.00194932,0.00705823,0.00170594,0.00258363,0.00115644,0.00047804,0.00002823,0.00317051,0.00035960,0.00303362,0.00681354,0.00221225,0.00567089,0.00356494,0.00544557,0.00006283,0.00182721,0.00293103
1980,0.01008902,0.00031678,0.00366683,0.00873281,0.00276867,0.00781081,0.00255388,0.00354199,0.00071412,0.00076129,0.00009533,0.00529447,0.00054492,0.00492628,0.00780174,0.00251057,0.00670457,0.00414217,0.00664282,0.00020711,0.00215236,0.00390374
1981,0.00706403,0.00025089,0.00345759,0.00700639,0.00245865,0.00731564,0.00232008,0.00325471,0.00104875,0.00080478,0.00015898,0.00451460,0.00038183,0.00421874,0.00724662,0.00234470,0.00614128,0.00390301,0.00588359,0.00024320,0.00253733,0.00345502
1982,0.00879761,0.00037999,0.00364776,0.00941380,0.00265608,0.01071625,0.00264828,0.00350469,0.00092199,0.00071540,0.00007294,0.00435794,0.00043460,0.00418341,0.00967753,0.00230859,0.00771680,0.00472811,0.00751294,0.00015590,0.00239661,0.00414034
1983,0.00859620,0.00021716,0.00380683,0.00799967,0.00223254,0.00719303,0.00246623,0.00341420,0.00113154,0.00077352,0.00003846,0.00380379,0.00040137,0.00364709,0.00702164,0.00298797,0.00582166,0.00362567,0.00570869,0.00008837,0.00198688,0.00347440
1984,0.00812728,0.00014674,0.00313757,0.00820474,0.00240189,0.00804646,0.00219596,0.00292411,0.00185622,0.00054330,0.00003427,0.00368785,0.00038845,0.00360671,0.00782473,0.00228369,0.00630873,0.00380406,0.00640609,0.00007652,0.00193977,0.00352120
1985,0.01019522,0.00010767,0.00336135,0.00974118,0.00233843,0.00949237,0.00208526,0.00300604,0.00063376,0.00049835,0.00003106,0.00392352,0.00044742,0.00389963,0.00927245,0.00248199,0.00735917,0.00336896,0.00680090,0.00008463,0.00214263,0.00387009
1986,0.00797228,0.00018708,0.00391666,0.00919837,0.00255095,0.00873937,0.00269577,0.00351453,0.00219979,0.00075231,0.00005708,0.00510326,0.00040172,0.00483258,0.00839637,0.00282271,0.00690401,0.00531423,0.00668888,0.00017991,0.00281741,0.00405930
1987,0.00913178,0.00071546,0.00419004,0.00771339,0.00273786,0.00956796,0.00267962,0.00389048,0.00062608,0.00080208,0.00022894,0.00487379,0.00046001,0.00447363,0.00968946,0.00284219,0.00836918,0.00509262,0.00777911,0.00021168,0.00266712,0.00422583
1988,0.01010941,0.00024078,0.00360666,0.00824951,0.00257135,0.00796131,0.00271409,0.00343820,0.00165159,0.00064764,0.00004955,0.00417672,0.00043570,0.00393613,0.00764203,0.00248874,0.00653528,0.00438621,0.00661416,0.00009294,0.00191661,0.00378403
1989,0.00854389,0.00033758,0.00355625,0.00867507,0.00264078,0.00835434,0.00239699,0.00331387,0.00271632,0.00071860,0.00013346,0.00401078,0.00054380,0.00383024,0.00751873,0.00248021,0.00617259,0.00401783,0.00626399,0.00013864,0.00186148,0.00372502
