diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.00432162,0.00735808,0.702620,0.455799,0.949441,5.7531,0.4528,0.075,132
colson_panofsky,0.00016003,0.00026940,0.683452,-0.133704,1.500608,1.6903,0.0667,0.056,148
brown1,0.00145703,0.00251933,0.729093,0.516379,0.941807,6.9271,0.5454,0.592,67
temperature_gradient,0.00364494,0.00515331,0.413827,0.254151,0.573504,5.2378,0.4068,1.349,68
horizontal_divergence,0.00109447,0.00116530,0.064718,-0.070983,0.200419,0.9639,0.0227,0.572,38
vertical_wind_shear,0.00417119,0.00666140,0.597002,0.363943,0.830062,5.1770,0.4012,2.321,49
endlich,0.00106156,0.00167339,0.576360,0.370413,0.782306,5.6560,0.4444,0.785,95
deformation,0.00140257,0.00217703,0.552179,0.363436,0.740922,5.9125,0.4664,0.642,58
wind_speed,0.00050252,0.00100963,1.009149,0.082296,1.936001,2.2004,0.1080,0.713,105
ngm2,0.00029125,0.00039917,0.370525,0.116876,0.624174,2.9522,0.1789,0.115,56
negative_richardson,0.00003211,0.00003790,0.180348,-0.693032,1.053728,0.4173,0.0043,0.022,176
rva_magnitude,0.00190466,0.00254870,0.338141,0.110410,0.565872,3.0008,0.1838,0.857,91
ubf,0.00010366,0.00012281,0.184738,-0.055140,0.424616,1.5564,0.0571,0.249,11
nva,0.00184399,0.00249261,0.351751,0.139226,0.564277,3.3450,0.2186,0.827,77
brown2,0.00369562,0.00651240,0.762196,0.517834,1.006558,6.3038,0.4984,1.993,52
vorticity_squared,0.00102857,0.00178006,0.730608,0.506569,0.954647,6.5906,0.5206,0.236,99
ti1,0.00307369,0.00519772,0.691034,0.452049,0.930018,5.8438,0.4606,1.639,51
ngm1,0.00185521,0.00331373,0.786177,0.410179,1.162175,4.2257,0.3086,1.234,82
ti2,0.00311544,0.00438722,0.408217,0.209842,0.606593,4.1588,0.3019,1.566,46
f2d,0.00004941,0.00006257,0.266199,-0.482222,1.014619,0.7188,0.0128,0.026,226
ncsu1,0.00092650,0.00136411,0.472314,0.212317,0.732311,3.6714,0.2520,0.61,54
