year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.00287442,0.00011151,0.00119291,0.00267576,0.00082499,0.00380421,0.00081943,0.00107442,0.00048405,0.00020856,0.00001201,0.00150516,0.00010210,0.00142671,0.00340957,0.00089340,0.00279669,0.00171214,0.00266508,0.00002033,0.00078657,0.00140000
1980,0.00568049,0.00019305,0.00159871,0.00429116,0.00125550,0.00419397,0.00125196,0.00155981,0.00031329,0.00034608,0.00004684,0.00265529,0.00014278,0.00252281,0.00392567,0.00108624,0.00334417,0.00197525,0.00340777,0.00007887,0.00093449,0.00194306
1981,0.00384661,0.00011440,0.00141187,0.00317120,0.00109782,0.00391669,0.00106894,0.00138201,0.00036494,0.00034651,0.00006137,0.00224487,0.00009097,0.00212148,0.00371784,0.00094060,0.00304252,0.00188748,0.00294117,0.00009043,0.00109286,0.00166441
1982,0.00493095,0.00027498,0.00159023,0.00454628,0.00117969,0.00619221,0.00124117,0.00156021,0.00030392,0.00030977,0.00003989,0.00206957,0.00010495,0.00202272,0.00510827,0.00096331,0.00399300,0.00232491,0.00393029,0.00007304,0.00105407,0.00208635
1983,0.00489886,0.00014263,0.00171175,0.00370028,0.00097417,0.00370698,0.00118271,0.00153401,0.00058898,0.00033185,0.00001694,0.00177563,0.00011083,0.00174949,0.00349640,0.00138739,0.00289231,0.00175954,0.00279131,0.00003361,0.00084174,0.00169654
1984,0.00471643,0.00008698,0.00126607,0.00379357,0.00104839,0.00421646,0.00098426,0.00122533,0.00103562,0.00022545,0.00001195,0.00169292,0.00010016,0.00171435,0.00384553,0.00097085,0.00305206,0.00182372,0.00322210,0.00002537,0.00075705,0.00170546
1985,0.00592657,0.00006544,0.00142957,0.00471646,0.00100792,0.00531285,0.00095216,0.00132828,0.00020713,0.00020888,0.00001609,0.00187030,0.00011080,0.00189756,0.00481082,0.00102612,0.00370360,0.00155385,0.00344925,0.00003205,0.00094750,0.00193206
1986,0.00430352,0.00010211,0.00166526,0.00444887,0.00112172,0.00469382,0.00124433,0.00153672,0.00101062,0.00032407,0.00002814,0.00249482,0.00008589,0.00239790,0.00423025,0.00119971,0.00344410,0.00264761,0.00342119,0.00006301,0.00129302,0.00198841
1987,0.00508043,0.00049231,0.00185363,0.00357110,0.00124777,0.00545352,0.00128391,0.00176243,0.00025440,0.00034253,0.00008144,0.00243473,0.00011286,0.00227774,0.00528280,0.00124176,0.00446456,0.00258210,0.00419974,0.00007197,0.00121405,0.00215742
1988,0.00558251,0.00015663,0.00155836,0.00381250,0.00114975,0.00415946,0.00129266,0.00152291,0.00080245,0.00029089,0.00002851,0.00199062,0.00011151,0.00189155,0.00371053,0.00103440,0.00315257,0.00204840,0.00337516,0.00004218,0.00078073,0.00183306
1989,0.00463893,0.00023272,0.00163736,0.00417391,0.00124968,0.00447441,0.00115059,0.00155518,0.00119499,0.00034203,0.00005932,0.00193757,0.00015759,0.00186295,0.00369414,0.00108424,0.00306783,0.00192925,0.00320232,0.00006204,0.00081454,0.00183436
1990,0.00698851,0.00015762,0.00203395,0.00421419,0.00096427,0.00469739,0.00105682,0.00178181,0.00110587,0.00042563,0.00003008,0.00204415,0.00008843,0.00197356,0.00417828,0.00142431,0.00338617,0.00258466,0.00301623,0.00005269,0.00102859,0.00205872
1991,0.00565772,0.00019126,0.00194104,0.00387336,0.00115643,0.00582505,0.00106222,0.00174043,0.00034605,0.00034715,0.00002334,0.00224254,0.00011478,0.00211069,0.00514784,0.00131056,0.00426785,0.00241251,0.00374734,0.00003971,0.00108502,0.00212585
1992,0.00499234,0.00011334,0.00153455,0.00444073,0.00122771,0.00555322,0.00123835,0.00153311,0.00016450,0.00033249,0.00001400,0.00217088,0.00010965,0.00216849,0.00476043,0.00102232,0.00380561,0.00178296,0.00367130,0.00003136,0.00092812,0.00198074
1993,0.00485975,0.00025676,0.00216287,0.00394278,0.00117155,0.00562509,0.00138686,0.00194481,0.00065758,0.00035385,0.00002053,0.00227062,0.00012930,0.00219918,0.00534374,0.00148636,0.00447301,0.00275328,0.00394841,0.00004075,0.00142041,0.00221179
1994,0.00544089,0.00026332,0.00199105,0.00425598,0.00128290,0.00646269,0.00163043,0.00193505,0.00102800,0.00034133,0.00002251,0.00250730,0.00010917,0.00237906,0.00599245,0.00124799,0.00479841,0.00351959,0.00435996,0.00005115,0.00150194,0.00243434
1995,0.00506491,0.00014675,0.00197471,0.00371261,0.00107825,0.00463094,0.00125535,0.00173818,0.00036318,0.00035881,0.00002829,0.00220890,0.00009820,0.00219944,0.00403152,0.00180495,0.00328292,0.00204005,0.00322408,0.00004869,0.00117864,0.00192711
1996,0.00431614,0.00027404,0.00215364,0.00372511,0.00106606,0.00472156,0.00135404,0.00193206,0.00161009,0.00035115,0.00003627,0.00180702,0.00008305,0.00180705,0.00488401,0.00144350,0.00424617,0.00298118,0.00373741,0.00006042,0.00114902,0.00208281
1997,0.00639864,0.00034867,0.00261079,0.00509839,0.00132136,0.00604934,0.00169126,0.00236122,0.00127790,0.00042634,0.00004194,0.00257040,0.00013918,0.00250266,0.00603051,0.00193508,0.00512837,0.00347563,0.00468147,0.00006628,0.00138266,0.00264467
1998,0.00629398,0.00010194,0.00216034,0.00376818,0.00115340,0.00458651,0.00122377,0.00183377,0.00132406,0.00030486,0.00002225,0.00239645,0.00010300,0.00231331,0.00482550,0.00149384,0.00407537,0.00328901,0.00353479,0.00004745,0.00141274,0.00220307
1999,0.00450974,0.00006735,0.00157092,0.00428984,0.00090709,0.00392891,0.00111005,0.00140087,0.00057137,0.00025322,0.00001259,0.00146670,0.00008886,0.00148518,0.00358697,0.00107033,0.00284117,0.00183424,0.00277047,0.00002831,0.00090983,0.00165257
2000,0.00391263,0.00014601,0.00152968,0.00373189,0.00117662,0.00385689,0.00132459,0.00145515,0.00045799,0.00035070,0.00004082,0.00170708,0.00010778,0.00176000,0.00386018,0.00107214,0.00328591,0.00227754,0.00331024,0.00006787,0.00105810,0.00173761
2001,0.00596294,0.00008017,0.00142702,0.00409525,0.00099962,0.00470750,0.00121627,0.00134231,0.00007006,0.00020960,0.00000841,0.00162779,0.00008298,0.00164597,0.00416421,0.00126399,0.00320995,0.00139340,0.00303813,0.00001760,0.00081119,0.00177973
2002,0.00785302,0.00048808,0.00242612,0.00573704,0.00127998,0.00676333,0.00188732,0.00216373,0.00071989,0.00038481,0.00007586,0.00277143,0.00012184,0.00268034,0.00644338,0.00171654,0.00519413,0.00314946,0.00476837,0.00005618,0.00123891,0.00275808
2003,0.00631446,0.00056219,0.00214992,0.00546474,0.00137697,0.00621470,0.00165749,0.00202393,0.00051570,0.00050420,0.00014300,0.00262287,0.00014257,0.00251018,0.00590776,0.00141844,0.00473649,0.00318401,0.00442406,0.00020958,0.00152563,0.00255280
2004,0.00619500,0.00011503,0.00187561,0.00453813,0.00100794,0.00441607,0.00118975,0.00165638,0.00038611,0.00037106,0.00004869,0.00203278,0.00009377,0.00195478,0.00415393,0.00142025,0.00330683,0.00189171,0.00294200,0.00008994,0.00104772,0.00193969
2005,0.00621575,0.00019596,0.00227553,0.00437425,0.00112101,0.00476714,0.00153366,0.00194674,0.00043238,0.00032727,0.00001680,0.00198498,0.00011209,0.00192484,0.00477147,0.00167283,0.00389520,0.00227502,0.00332719,0.00002999,0.00108583,0.00210885
