subdir,store,n_problems,problems
derived/north_atlantic_audit,diagnostics_na_1979-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1979-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1980-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1981-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-02.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_1982-08.zarr,0,
