diagnostic,severity,global_pct,density_90S-60S,density_60S-30S,density_30S-0,density_0-30N,density_30N-60N,density_60N-90N,nh_sh_ratio
brown1,light,3,0.899564,1.5584,0.521368,0.583051,1.91233,0.426291,1.10612
brown1,moderate,0.4,0.490998,1.43861,0.634301,0.747305,1.86671,0.249849,1.20285
brown1,severe,0.1,0.532405,1.33804,0.677244,0.840832,1.74245,0.313214,1.227
brown2,light,3,0.659341,1.89387,0.417301,0.391919,1.92425,0.816109,1.02288
brown2,moderate,0.4,0.580998,2.01557,0.265115,0.233784,2.32902,0.613581,1.1142
brown2,severe,0.1,0.596783,2.02065,0.202813,0.173315,2.49879,0.577718,1.17703
colson_panofsky,light,3,0.00424218,0.0772378,1.79713,2.05854,0.11799,0.000273663,1.14125
colson_panofsky,moderate,0.4,0.00314372,0.123691,1.87265,1.93917,0.131812,0.000949883,1.01561
colson_panofsky,severe,0.1,0.00511529,0.154411,1.88798,1.88703,0.150362,0.00196068,0.974164
deformation,light,3,0.496954,1.35194,0.748407,0.85009,1.64167,0.286652,1.13983
deformation,moderate,0.4,0.475324,1.32262,0.726963,0.875872,1.68195,0.261666,1.19778
deformation,severe,0.1,0.593159,1.24452,0.733356,0.923913,1.61045,0.349481,1.22177
endlich,light,3,0.292204,1.41077,1.06361,0.964682,1.11356,0.172677,0.835723
endlich,moderate,0.4,0.216783,1.50535,1.01879,0.8975,1.21853,0.120726,0.830234
endlich,severe,0.1,0.235005,1.53209,1.04596,0.797417,1.2815,0.129629,0.786565
f2d,light,3,0.0216962,0.19168,1.68489,1.98141,0.25492,0.00271403,1.173
f2d,moderate,0.4,0.0131129,0.128148,1.69685,2.05391,0.207023,0.00021966,1.21926
f2d,severe,0.1,0.0138902,0.0940595,1.74305,2.07563,0.148182,2.95584e-05,1.19351
horizontal_divergence,light,3,0.430182,1.0296,1.0214,1.11982,1.23485,0.319758,1.11482
horizontal_divergence,moderate,0.4,0.666392,1.00549,0.956447,1.06581,1.29961,0.417031,1.13815
horizontal_divergence,severe,0.1,1.0428,0.915818,0.889353,1.08052,1.25178,0.612815,1.17687
magnitude_pv,light,3,3.40054,1.30098,0.00253327,0.00339166,1.50962,3.82217,1.15449
