key,units_native,n_finite,min,max,mean,median,p95,p99,p99_9
magnitude_pv,K m**2 kg**-1 s**-1,291368,1.3642420526593924e-11,1.331217117694905e-05,4.422869096742943e-06,3.48714274878148e-06,1.0044172677226014e-05,1.1298148183414015e-05,1.2375556661936504e-05
brown1,m s**-1,291368,1.599133011262428e-06,0.00035483764948635304,7.86050183134628e-05,7.467411008396036e-05,0.0001319356370569253,0.00016541115449067483,0.00023075338122305523
temperature_gradient,K,291368,1.3516348993586305e-12,8.567221591808059e-05,1.1072564358630598e-05,8.275547564604611e-06,3.0360473429075474e-05,4.346286055423399e-05,5.973491195327325e-05
horizontal_divergence,s**-1,291368,6.984919309616089e-10,0.0003276772331446409,1.6640207832097076e-05,1.101871021091938e-05,5.1718018949031765e-05,8.733686758205334e-05,0.00014951602742075884
vertical_wind_shear,?,291368,1.4998664482845925e-05,0.020312011241912842,0.004843353759497404,0.004225568380206823,0.010916638001799577,0.013879922144114973,0.01709817280620334
endlich,m s**-1,291368,5.253824486572967e-09,0.020502550527453423,0.0024738514330238104,0.001974510494619608,0.006309071276336907,0.009057246437296312,0.013848080249503231
deformation,m s**-1,291368,2.8581985780693853e-16,9.377371506688671e-08,3.029548897603312e-09,1.659591863236992e-09,1.0186995616858691e-08,1.918052969055868e-08,4.132068784082226e-08
wind_speed,m s**-1,291368,0.07256028056144714,56.55959701538086,21.89127540588379,19.983089447021484,44.266842460632326,49.87376224517825,53.33261962890622
ngm2,m s**-1,291368,1.3008348150571452e-12,2.1934584053011092e-06,1.6029432208734566e-07,1.1353534343860286e-07,4.709438268018801e-07,7.359810424268923e-07,1.2299632530800193e-06
nva,m s**-1,291368,0.0,1.0424414142661423e-07,1.93344679698259e-09,3.560810978213354e-11,9.677665558663402e-09,2.207911408260379e-08,4.926261828999375e-08
vorticity_squared,s**-1,291368,4.87890977618477e-19,8.091717518254882e-08,2.598595116864999e-09,1.3912677676586327e-09,8.860552558331828e-09,1.4967000723231655e-08,3.106617461412473e-08
ti1,m s**-1,291368,5.064406237651584e-11,4.734068433363388e-06,2.420673875597157e-07,1.5599586906455698e-07,7.550728776392791e-07,1.2593713412850476e-06,2.2629083703610068e-06
ngm1,m s**-1,291368,3.3796724422310923e-07,0.010754637716634987,0.0011253169599908892,0.0007597079162435922,0.0032851766226795016,0.005025070181996425,0.007333208284270813
ti2,?,291368,-2.3852045958288055e-06,5.720630268499437e-06,2.39230691872323e-07,1.3894597583194125e-07,8.534071638075915e-07,1.443209077725373e-06,2.2658973915431287e-06
negative_richardson,1,291368,-1745160.566090539,-0.40607760378046825,-185.67335833038396,-15.299035045569607,-2.9309269107008045,-1.7214894146176363,-0.8797702803795898
colson_panofsky,m2 s-2,291368,-779.8585317429836,2.38339418535419,-354.12475266289636,-349.94481493894244,-77.08914813245948,-44.78524726015068,-22.49426079473594
ubf,s-2,291368,1.9057967159200376e-15,1.5141574338670453e-07,3.962400266701623e-09,2.389616763063252e-09,1.3003530506505432e-08,2.463553680330105e-08,4.944103870273483e-08
f2d,K2 m-2 s-1,291368,-1.2895207903964838e-08,1.164849000821892e-08,7.925075809886544e-11,2.2301403417973742e-11,1.058631311470895e-09,2.2566554448267295e-09,5.136179388338348e-09
ncsu1,s-3,291368,0.0,6.341739368892819e-12,1.557789553277339e-14,2.102842016296322e-18,5.823498884584984e-14,2.625822663239021e-13,1.6472654710825083e-12
rva_magnitude,s-2,291368,4.9746967676244155e-15,1.0485572370588126e-07,3.895440009066949e-09,1.8380929360026702e-09,1.4843032495317827e-08,2.932793500631539e-08,5.455676084943895e-08
brown2,s-3,291368,8.539751855558102e-16,3.31369238391501e-09,1.207034545522561e-10,4.983909859500665e-11,4.919233583550041e-10,9.32041590735396e-10,1.7883515656041138e-09
