severity,diagnostic,panel,uses_stencil,level_ours_pct,level_his_pct,level_ratio,na_share_ours,na_share_his,change_ours,ci_lo,ci_hi,t_ours,rel_his,p_his,his_inside_our_ci,sig_ours,sig_his,sig_agree
MOG,negative_richardson,a,1,0.01925,0.039,0.49359,0.048125,0.0975,0.405708,-0.413941,1.22536,1.0003,-0.075,0.6,1,0,0,1
MOG,vertical_wind_shear,b,1,1.42871,1.68,0.850425,3.57178,4.2,0.390097,0.234725,0.545468,5.0742,0.384,8e-07,1,1,1,1
MOG,colson_panofsky,c,1,0.039273,0.285,0.1378,0.0981825,0.7125,0.623095,-0.056876,1.30307,1.852,0.454,0.002,1,0,1,0
MOG,f2d,d,1,0.023401,0.055,0.425473,0.0585025,0.1375,0.262134,-0.390664,0.914932,0.8115,0.003,1,1,0,0,1
MOG,brown1,e,0,0.760973,0.7,1.0871,1.90243,1.75,0.445068,0.306828,0.583307,6.5067,0.454,2e-07,1,1,1,1
MOG,brown2,f,1,1.46166,1.6,0.913539,3.65416,4,0.460536,0.304328,0.616745,5.9583,0.462,5e-08,1,1,1,1
MOG,ti1,g,1,1.22942,1.4,0.87816,3.07356,3.5,0.441704,0.284426,0.598981,5.6758,0.423,3e-07,1,1,1,1
MOG,ti2,h,1,1.18962,1.37,0.868336,2.97405,3.425,0.286755,0.15299,0.42052,4.3325,0.27,3e-05,1,1,1,1
MOG,deformation,i,0,0.699009,0.7,0.998584,1.74752,1.75,0.370169,0.234844,0.505493,5.5283,0.375,6e-06,1,1,1,1
MOG,magnitude_pv,j,0,0.99335,1.62,0.613179,2.48337,4.05,0.259716,-0.006329,0.525762,1.9729,0.506,4e-07,1,0,1,0
MOG,vorticity_squared,k,0,0.526618,0.47,1.12046,1.31654,1.175,0.395103,0.250124,0.540082,5.5077,0.371,2e-05,1,1,1,1
MOG,temperature_gradient,l,0,1.59696,1.75,0.912551,3.99241,4.375,0.271411,0.159073,0.383749,4.8828,0.26,2e-05,1,1,1,1
MOG,wind_speed,m,0,0.264026,0.28,0.94295,0.660065,0.7,0.739307,0.156084,1.32253,2.5619,0.756,0.02,1,1,1,1
MOG,endlich,n,1,0.470175,0.92,0.51106,1.17544,2.3,0.376725,0.230928,0.522522,5.2221,0.277,2e-05,1,1,1,1
MOG,ngm1,o,0,0.775482,0.83,0.934316,1.9387,2.075,0.521689,0.266077,0.777301,4.1247,0.509,0.0003,1,1,1,1
MOG,ngm2,p,1,0.147494,0.24,0.614558,0.368735,0.6,0.279702,0.052809,0.506594,2.4914,0.338,0.001,1,1,1,1
MOG,ubf,q,0,0.138862,0.72,0.192864,0.347155,1.8,0.199513,0.026134,0.372893,2.3256,0.316,6e-05,1,1,1,1
