diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.00993350,0.01251339,0.259716,-0.006329,0.525762,1.9729,0.0887,0.075,132
colson_panofsky,0.00039273,0.00063744,0.623095,-0.056876,1.303066,1.8520,0.0790,0.056,148
brown1,0.00760973,0.01099657,0.445068,0.306828,0.583307,6.5067,0.5142,0.592,67
temperature_gradient,0.01596964,0.02030397,0.271411,0.159073,0.383749,4.8828,0.3734,1.349,68
horizontal_divergence,0.00472030,0.00496465,0.051765,-0.054207,0.157738,0.9872,0.0238,0.572,38
vertical_wind_shear,0.01428714,0.01986051,0.390097,0.234725,0.545468,5.0742,0.3916,2.321,49
endlich,0.00470175,0.00647302,0.376725,0.230928,0.522522,5.2221,0.4054,0.785,95
deformation,0.00699009,0.00957760,0.370169,0.234844,0.505493,5.5283,0.4331,0.642,58
wind_speed,0.00264026,0.00459223,0.739307,0.156084,1.322531,2.5619,0.1410,0.713,105
ngm2,0.00147494,0.00188749,0.279702,0.052809,0.506594,2.4914,0.1343,0.115,56
negative_richardson,0.00019250,0.00027060,0.405708,-0.413941,1.225358,1.0003,0.0244,0.022,176
rva_magnitude,0.00747581,0.00964772,0.290524,0.106874,0.474173,3.1971,0.2035,0.857,91
ubf,0.00138862,0.00166566,0.199513,0.026134,0.372893,2.3256,0.1191,0.249,11
nva,0.00700224,0.00902155,0.288381,0.120822,0.455940,3.4783,0.2322,0.827,77
brown2,0.01461663,0.02134811,0.460536,0.304328,0.616745,5.9583,0.4702,1.993,52
vorticity_squared,0.00526618,0.00734686,0.395103,0.250124,0.540082,5.5077,0.4313,0.236,99
ti1,0.01229424,0.01772465,0.441704,0.284426,0.598981,5.6758,0.4461,1.639,51
ngm1,0.00775482,0.01180043,0.521689,0.266077,0.777301,4.1247,0.2984,1.234,82
ti2,0.01189620,0.01530750,0.286755,0.152990,0.420520,4.3325,0.3194,1.566,46
f2d,0.00023401,0.00029536,0.262134,-0.390664,0.914932,0.8115,0.0162,0.026,226
ncsu1,0.00425058,0.00590890,0.390141,0.201338,0.578945,4.1762,0.3036,0.61,54
