year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.00501723,0.00027811,0.00694489,0.01287187,0.00385418,0.01268445,0.00356655,0.00595380,0.00296602,0.00108083,0.00008909,0.00611183,0.00117960,0.00584153,0.01341196,0.00486044,0.01124895,0.00720953,0.01069357,0.00011222,0.00378137,0.00570276
1980,0.01462557,0.00052687,0.00800053,0.01718948,0.00524116,0.01439088,0.00517747,0.00763075,0.00193682,0.00168724,0.00027556,0.00963984,0.00175598,0.00878298,0.01513076,0.00527888,0.01300384,0.00842905,0.01262494,0.00037033,0.00437512,0.00743210
1981,0.00884643,0.00049697,0.00794423,0.01467602,0.00474614,0.01331894,0.00488325,0.00728750,0.00264250,0.00183413,0.00035076,0.00834307,0.00131932,0.00768379,0.01393047,0.00529095,0.01197011,0.00774554,0.01131828,0.00043767,0.00509265,0.00667423
1982,0.00929186,0.00054542,0.00793097,0.01859034,0.00506063,0.01834622,0.00551308,0.00750341,0.00253998,0.00160033,0.00020941,0.00820700,0.00149497,0.00776449,0.01788981,0.00500683,0.01455727,0.00923194,0.01391353,0.00029142,0.00485723,0.00763553
1983,0.00827020,0.00035064,0.00809498,0.01640539,0.00434544,0.01358684,0.00500572,0.00732704,0.00234311,0.00177053,0.00012979,0.00723490,0.00126097,0.00683058,0.01411455,0.00603425,0.01165543,0.00720870,0.01134466,0.00017495,0.00407427,0.00655062
1984,0.00809028,0.00025142,0.00737933,0.01665080,0.00465799,0.01487293,0.00474091,0.00663677,0.00341938,0.00124912,0.00010737,0.00713772,0.00133389,0.00677209,0.01537541,0.00506454,0.01260862,0.00779357,0.01231962,0.00013559,0.00413166,0.00670138
1985,0.01013502,0.00019798,0.00759848,0.01926505,0.00454391,0.01664639,0.00431183,0.00668831,0.00187040,0.00115200,0.00008229,0.00744241,0.00151203,0.00720267,0.01740480,0.00529450,0.01404948,0.00716292,0.01296736,0.00015146,0.00426925,0.00714041
1986,0.00983816,0.00037152,0.00856168,0.01808010,0.00496531,0.01586829,0.00561508,0.00769763,0.00471539,0.00169993,0.00018341,0.00944198,0.00147709,0.00877314,0.01617650,0.00595747,0.01338640,0.01023787,0.01271300,0.00031834,0.00550958,0.00769466
1987,0.01159174,0.00105581,0.00905894,0.01602413,0.00514536,0.01648799,0.00543041,0.00829658,0.00174786,0.00177384,0.00055028,0.00890119,0.00153179,0.00804346,0.01759894,0.00602665,0.01536568,0.00979223,0.01406803,0.00037675,0.00520997,0.00781322
1988,0.01249626,0.00036566,0.00794865,0.01698363,0.00489456,0.01487122,0.00549891,0.00742444,0.00345022,0.00144530,0.00013714,0.00793991,0.00147346,0.00739354,0.01528943,0.00534646,0.01302552,0.00889394,0.01268891,0.00018948,0.00404178,0.00722850
1989,0.01157514,0.00049765,0.00773605,0.01729382,0.00493885,0.01516461,0.00498245,0.00701732,0.00533639,0.00152194,0.00029909,0.00757472,0.00170264,0.00710905,0.01496425,0.00526000,0.01224448,0.00821096,0.01205165,0.00025249,0.00379699,0.00712050
1990,0.01529623,0.00038570,0.00904060,0.01732495,0.00430972,0.01524727,0.00488608,0.00796370,0.00450673,0.00187800,0.00019087,0.00800777,0.00131729,0.00747535,0.01556008,0.00623930,0.01301255,0.00920683,0.01189625,0.00025912,0.00450798,0.00754821
1991,0.01299192,0.00039164,0.00937337,0.01698283,0.00496748,0.01714508,0.00463796,0.00843228,0.00225618,0.00171692,0.00012793,0.00867786,0.00160961,0.00805835,0.01749004,0.00625522,0.01469668,0.00987239,0.01321408,0.00018581,0.00490831,0.00780914
1992,0.01335877,0.00027147,0.00762325,0.01845810,0.00522467,0.01827302,0.00561530,0.00732945,0.00168431,0.00159860,0.00008614,0.00849350,0.00148180,0.00794206,0.01762988,0.00513363,0.01434993,0.00776812,0.01360811,0.00013988,0.00447959,0.00764522
1993,0.00954404,0.00058395,0.01017260,0.01685500,0.00507894,0.01769098,0.00570377,0.00918127,0.00344810,0.00185476,0.00019939,0.00886081,0.00160955,0.00827730,0.01889041,0.00697007,0.01630963,0.01054764,0.01482411,0.00019053,0.00575512,0.00821657
1994,0.01573668,0.00065972,0.00924837,0.01766725,0.00542006,0.01933020,0.00627204,0.00874929,0.00575843,0.00188292,0.00026513,0.00954685,0.00161060,0.00877839,0.02030895,0.00603985,0.01691876,0.01260156,0.01523888,0.00029090,0.00631705,0.00898295
1995,0.01091485,0.00034979,0.00958428,0.01620462,0.00474946,0.01483740,0.00521685,0.00809354,0.00277070,0.00171364,0.00017176,0.00838602,0.00139475,0.00782044,0.01548642,0.00746489,0.01312493,0.00841047,0.01212356,0.00024036,0.00480764,0.00732697
1996,0.00758891,0.00051727,0.00960441,0.01572893,0.00455893,0.01602402,0.00509922,0.00842202,0.00559579,0.00154850,0.00025180,0.00719602,0.00127440,0.00677505,0.01784679,0.00661125,0.01530498,0.01014918,0.01379607,0.00026345,0.00501326,0.00757954
1997,0.01433501,0.00074114,0.01169777,0.01948542,0.00562556,0.01889961,0.00664053,0.01034579,0.00453804,0.00200176,0.00035619,0.00947816,0.00182501,0.00887787,0.02044601,0.00801255,0.01773932,0.01171575,0.01590894,0.00030205,0.00578210,0.00927403
1998,0.01556083,0.00032278,0.00943615,0.01623602,0.00483035,0.01584426,0.00539394,0.00830215,0.00451426,0.00140912,0.00014413,0.00875333,0.00152033,0.00817766,0.01689907,0.00599841,0.01447891,0.01118108,0.01303044,0.00024767,0.00528163,0.00797917
1999,0.00856600,0.00025123,0.00722831,0.01817564,0.00399120,0.01416233,0.00462815,0.00636662,0.00277858,0.00117441,0.00009994,0.00611820,0.00120289,0.00593428,0.01473833,0.00486030,0.01174660,0.00707014,0.01125927,0.00013014,0.00407963,0.00640772
2000,0.00806092,0.00044606,0.00774120,0.01582454,0.00468614,0.01368611,0.00536472,0.00708504,0.00354742,0.00168717,0.00021487,0.00706404,0.00153027,0.00677785,0.01509418,0.00535127,0.01293963,0.00915377,0.01197459,0.00031347,0.00468165,0.00682023
2001,0.01221987,0.00020872,0.00798571,0.01791916,0.00443829,0.01549430,0.00476078,0.00704177,0.00119060,0.00119732,0.00005340,0.00680745,0.00124452,0.00654768,0.01599680,0.00602403,0.01306260,0.00683470,0.01186914,0.00008740,0.00407752,0.00690770
2002,0.01022400,0.00105554,0.01081756,0.02205520,0.00537570,0.02064669,0.00697507,0.00950752,0.00340419,0.00172936,0.00051156,0.01011235,0.00174920,0.00932848,0.02188612,0.00740500,0.01809051,0.01094128,0.01611322,0.00032095,0.00565435,0.00923352
2003,0.01044514,0.00125201,0.00992041,0.02087864,0.00568628,0.01919517,0.00632303,0.00909948,0.00352500,0.00232132,0.00079425,0.01000268,0.00181369,0.00922142,0.02079329,0.00672936,0.01731341,0.01155398,0.01537157,0.00084663,0.00640823,0.00902357
2004,0.01026222,0.00038425,0.00868645,0.01933628,0.00452183,0.01514968,0.00503194,0.00772984,0.00223643,0.00174820,0.00023243,0.00776915,0.00127149,0.00728119,0.01586678,0.00614194,0.01292526,0.00733778,0.01191713,0.00043541,0.00459557,0.00718387
2005,0.00832323,0.00042234,0.01002154,0.01731005,0.00465478,0.01449991,0.00581153,0.00860174,0.00218410,0.00157434,0.00015315,0.00751527,0.00134520,0.00698514,0.01604919,0.00705945,0.01360144,0.00831840,0.01174369,0.00015152,0.00458708,0.00718634
2006,0.00907495,0.00063151,0.01025407,0.01816149,0.00477144,0.01802487,0.00604190,0.00913294,0.00329781,0.00182256,0.00022526,0.00802246,0.00158775,0.00754893,0.01908225,0.00666973,0.01607059,0.01022257,0.01395043,0.00024771,0.00507865,0.00809142
2007,0.01051420,0.00038056,0.00954532,0.02092507,0.00533112,0.01711399,0.00520822,0.00835755,0.00406842,0.00141190,0.00012762,0.00868553,0.00187664,0.00826097,0.01838807,0.00675759,0.01522527,0.00876574,0.01377442,0.00014154,0.00470100,0.00807432
