diagnostic,level_1979,level_2020,change,ci_lo,ci_hi,t,r2,status_12_6_level,status_12_6_change
magnitude_pv,0.00274300,0.00391847,0.428533,0.105354,0.751711,2.6798,0.1522,0.075,132
colson_panofsky,0.00016003,0.00026940,0.683452,-0.133704,1.500608,1.6903,0.0667,0.056,148
brown1,0.00143512,0.00248117,0.728893,0.516868,0.940918,6.9477,0.5469,0.592,67
temperature_gradient,0.00364614,0.00515592,0.414076,0.254255,0.573897,5.2361,0.4067,1.349,68
horizontal_divergence,0.00098870,0.00104895,0.060935,-0.074336,0.196207,0.9104,0.0203,0.572,38
vertical_wind_shear,0.00417119,0.00666140,0.597002,0.363943,0.830062,5.1770,0.4012,2.321,49
endlich,0.00106156,0.00167339,0.576360,0.370413,0.782306,5.6560,0.4444,0.785,95
deformation,0.00139047,0.00215980,0.553280,0.364416,0.742145,5.9205,0.4670,0.642,58
wind_speed,0.00050252,0.00100963,1.009149,0.082296,1.936001,2.2004,0.1080,0.713,105
ngm2,0.00028747,0.00039448,0.372232,0.118110,0.626354,2.9603,0.1797,0.115,56
negative_richardson,0.00003211,0.00003790,0.180348,-0.693032,1.053728,0.4173,0.0043,0.022,176
rva_magnitude,0.00183235,0.00243592,0.329396,0.100908,0.557885,2.9135,0.1751,0.857,91
ubf,0.00010426,0.00012341,0.183647,-0.055366,0.422660,1.5528,0.0569,0.249,11
nva,0.00172266,0.00231690,0.344953,0.130002,0.559904,3.2433,0.2082,0.827,77
brown2,0.00369051,0.00650302,0.762094,0.517832,1.006355,6.3055,0.4985,1.993,52
vorticity_squared,0.00097875,0.00169569,0.732510,0.510762,0.954257,6.6761,0.5270,0.236,99
ti1,0.00306569,0.00518590,0.691594,0.452366,0.930822,5.8426,0.4605,1.639,51
ngm1,0.00184667,0.00330072,0.787393,0.410869,1.163917,4.2263,0.3087,1.234,82
ti2,0.00309245,0.00433154,0.400682,0.203580,0.597784,4.1084,0.2968,1.566,46
f2d,0.00004438,0.00005539,0.248157,-0.520216,1.016529,0.6527,0.0105,0.026,226
ncsu1,0.00088770,0.00130736,0.472763,0.210722,0.734803,3.6462,0.2495,0.61,54
