year,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1979,0.00120616,0.00011151,0.00117411,0.00267624,0.00073321,0.00380421,0.00081943,0.00106497,0.00048405,0.00020574,0.00001201,0.00143612,0.00010255,0.00132555,0.00340305,0.00084059,0.00278900,0.00170440,0.00263923,0.00001711,0.00075031,0.00129998
1980,0.00473668,0.00019305,0.00157552,0.00429168,0.00113875,0.00419397,0.00125196,0.00154573,0.00031329,0.00034194,0.00004684,0.00256319,0.00014376,0.00236896,0.00392046,0.00103854,0.00333488,0.00196526,0.00338112,0.00007416,0.00089810,0.00187228
1981,0.00314743,0.00011440,0.00139393,0.00317149,0.00099716,0.00391669,0.00106894,0.00136979,0.00036494,0.00034211,0.00006137,0.00216310,0.00009175,0.00199334,0.00371518,0.00090117,0.00303431,0.00187933,0.00292012,0.00007205,0.00104978,0.00160802
1982,0.00234575,0.00027498,0.00156680,0.00454933,0.00107243,0.00619221,0.00124117,0.00154769,0.00030392,0.00030565,0.00003989,0.00196908,0.00010542,0.00187564,0.00510065,0.00092627,0.00398440,0.00231441,0.00389546,0.00007143,0.00101248,0.00193786
1983,0.00270916,0.00014263,0.00168842,0.00370158,0.00087688,0.00370698,0.00118271,0.00152307,0.00058898,0.00032773,0.00001694,0.00169127,0.00011099,0.00161382,0.00349283,0.00131647,0.00288538,0.00175163,0.00276603,0.00003346,0.00080357,0.00156812
1984,0.00229591,0.00008698,0.00124692,0.00379443,0.00094446,0.00421646,0.00098426,0.00121441,0.00103562,0.00022222,0.00001195,0.00162932,0.00010046,0.00159914,0.00384069,0.00092448,0.00304290,0.00181438,0.00319865,0.00002010,0.00071910,0.00156871
1985,0.00274619,0.00006544,0.00140589,0.00471900,0.00090122,0.00531285,0.00095216,0.00131636,0.00020713,0.00020604,0.00001609,0.00179998,0.00011163,0.00176737,0.00480304,0.00097320,0.00369263,0.00154667,0.00341897,0.00002869,0.00090874,0.00175711
1986,0.00228896,0.00010211,0.00164201,0.00445187,0.00101430,0.00469382,0.00124433,0.00152301,0.00101062,0.00031962,0.00002814,0.00239147,0.00008641,0.00223947,0.00422579,0.00113225,0.00343507,0.00263476,0.00339140,0.00005303,0.00123872,0.00186415
1987,0.00324403,0.00049231,0.00182278,0.00357267,0.00113070,0.00545352,0.00128391,0.00174708,0.00025440,0.00033805,0.00008144,0.00235133,0.00011352,0.00214549,0.00527648,0.00118493,0.00445504,0.00257303,0.00416043,0.00005655,0.00116608,0.00204304
1988,0.00354830,0.00015663,0.00153472,0.00381324,0.00104000,0.00415946,0.00129266,0.00150906,0.00080245,0.00028731,0.00002851,0.00192116,0.00011214,0.00176535,0.00370497,0.00099195,0.00314389,0.00203907,0.00334857,0.00004685,0.00075015,0.00171412
1989,0.00329296,0.00023272,0.00161352,0.00417709,0.00113102,0.00447441,0.00115059,0.00154271,0.00119499,0.00033791,0.00005932,0.00186371,0.00015831,0.00173371,0.00369013,0.00103648,0.00306086,0.00192182,0.00317602,0.00005638,0.00078261,0.00174701
1990,0.00488384,0.00015762,0.00200508,0.00421478,0.00087154,0.00469739,0.00105682,0.00176677,0.00110587,0.00042030,0.00003008,0.00195811,0.00008872,0.00183506,0.00417228,0.00136863,0.00337715,0.00257285,0.00298696,0.00005128,0.00098895,0.00193381
1991,0.00349116,0.00019126,0.00190775,0.00387460,0.00105003,0.00582505,0.00106222,0.00172518,0.00034605,0.00034249,0.00002334,0.00214838,0.00011502,0.00195922,0.00513776,0.00123987,0.00425791,0.00240078,0.00371095,0.00003634,0.00103701,0.00199440
1992,0.00322574,0.00011334,0.00151350,0.00444172,0.00111547,0.00555322,0.00123835,0.00152002,0.00016450,0.00032855,0.00001400,0.00209128,0.00011059,0.00203102,0.00475306,0.00098080,0.00379705,0.00177492,0.00364273,0.00002890,0.00088538,0.00187258
1993,0.00278348,0.00025676,0.00212561,0.00394316,0.00106107,0.00562509,0.00138686,0.00192890,0.00065758,0.00034952,0.00002053,0.00217906,0.00012962,0.00205663,0.00533590,0.00140787,0.00446242,0.00274135,0.00390627,0.00003788,0.00135717,0.00208346
1994,0.00405855,0.00026332,0.00195871,0.00426087,0.00114918,0.00646269,0.00163043,0.00191869,0.00102800,0.00033659,0.00002251,0.00241602,0.00011033,0.00222195,0.00598069,0.00119605,0.00478738,0.00350462,0.00431420,0.00004158,0.00143587,0.00233801
1995,0.00304658,0.00014675,0.00194503,0.00371432,0.00096322,0.00463094,0.00125535,0.00172548,0.00036318,0.00035418,0.00002829,0.00210792,0.00009823,0.00204243,0.00402616,0.00170515,0.00327418,0.00203067,0.00319275,0.00004135,0.00113292,0.00180120
1996,0.00232281,0.00027404,0.00211955,0.00372662,0.00095357,0.00472156,0.00135404,0.00191677,0.00161009,0.00034672,0.00003627,0.00171957,0.00008349,0.00167588,0.00487864,0.00136777,0.00423737,0.00296813,0.00369308,0.00005988,0.00110009,0.00196028
1997,0.00435163,0.00034867,0.00256808,0.00510176,0.00118403,0.00604934,0.00169126,0.00234139,0.00127790,0.00042100,0.00004194,0.00247746,0.00013993,0.00234384,0.00602148,0.00183677,0.00511832,0.00346630,0.00463776,0.00005658,0.00132470,0.00251429
1998,0.00475995,0.00010194,0.00212789,0.00376797,0.00103619,0.00458651,0.00122377,0.00181846,0.00132406,0.00030141,0.00002225,0.00229446,0.00010385,0.00215945,0.00481887,0.00141741,0.00406624,0.00327599,0.00349436,0.00004101,0.00135622,0.00209992
1999,0.00261596,0.00006735,0.00155020,0.00429020,0.00082853,0.00392891,0.00111005,0.00139006,0.00057137,0.00025024,0.00001259,0.00139220,0.00008948,0.00136761,0.00358047,0.00102426,0.00283181,0.00182496,0.00274119,0.00002721,0.00086986,0.00154117
2000,0.00207991,0.00014601,0.00150708,0.00373390,0.00106707,0.00385689,0.00132459,0.00144351,0.00045799,0.00034682,0.00004082,0.00165582,0.00010856,0.00165129,0.00385644,0.00102366,0.00327748,0.00226740,0.00328257,0.00006406,0.00102087,0.00162918
2001,0.00374693,0.00008017,0.00140841,0.00409863,0.00089583,0.00470750,0.00121627,0.00133058,0.00007006,0.00020684,0.00000841,0.00156958,0.00008374,0.00153222,0.00415807,0.00120263,0.00320190,0.00138677,0.00301375,0.00001804,0.00077275,0.00165281
2002,0.00302417,0.00048808,0.00238737,0.00573983,0.00115237,0.00676333,0.00188732,0.00214602,0.00071989,0.00038104,0.00007586,0.00266500,0.00012274,0.00250064,0.00643268,0.00162684,0.00518200,0.00313847,0.00471907,0.00003735,0.00119029,0.00249430
2003,0.00284007,0.00056219,0.00211826,0.00546784,0.00123187,0.00621470,0.00165749,0.00200766,0.00051570,0.00049842,0.00014300,0.00252032,0.00014358,0.00234826,0.00590040,0.00135337,0.00472568,0.00317232,0.00438355,0.00019173,0.00147328,0.00235570
2004,0.00264415,0.00011503,0.00184915,0.00453927,0.00091323,0.00441607,0.00118975,0.00164259,0.00038611,0.00036603,0.00004869,0.00194680,0.00009415,0.00181543,0.00414976,0.00135669,0.00329865,0.00188353,0.00291496,0.00007400,0.00100742,0.00174531
2005,0.00244074,0.00019596,0.00224371,0.00437528,0.00100709,0.00476714,0.00153366,0.00193150,0.00043238,0.00032354,0.00001680,0.00189220,0.00011265,0.00179140,0.00476412,0.00159356,0.00388591,0.00226500,0.00329327,0.00002835,0.00103964,0.00190161
2006,0.00285550,0.00026512,0.00236842,0.00431937,0.00104531,0.00612758,0.00156897,0.00208523,0.00082994,0.00040915,0.00002074,0.00195881,0.00011741,0.00188107,0.00579984,0.00154234,0.00477418,0.00293381,0.00385990,0.00003399,0.00117069,0.00218892
2007,0.00341874,0.00020846,0.00187470,0.00517557,0.00120274,0.00531183,0.00129893,0.00170814,0.00054092,0.00028256,0.00001724,0.00212613,0.00013643,0.00204288,0.00513696,0.00139142,0.00421252,0.00211531,0.00380333,0.00003103,0.00091910,0.00204547
2008,0.00313892,0.00014381,0.00206017,0.00434233,0.00084908,0.00544678,0.00148677,0.00172251,0.00054579,0.00030112,0.00002735,0.00162854,0.00008817,0.00156008,0.00487232,0.00149256,0.00377021,0.00203789,0.00338973,0.00004661,0.00096604,0.00190080
2009,0.00235783,0.00019528,0.00200278,0.00474614,0.00092596,0.00680701,0.00136004,0.00182267,0.00152648,0.00036170,0.00002731,0.00205814,0.00008751,0.00196756,0.00625254,0.00129122,0.00482455,0.00274116,0.00416293,0.00003621,0.00108930,0.00222116
2010,0.00380309,0.00009020,0.00233222,0.00428459,0.00102063,0.00429179,0.00138976,0.00208485,0.00024606,0.00029224,0.00000945,0.00200641,0.00010131,0.00194414,0.00478864,0.00158626,0.00423805,0.00248786,0.00357281,0.00001365,0.00100244,0.00198031
2011,0.00332190,0.00015326,0.00169580,0.00384101,0.00074119,0.00514806,0.00150745,0.00148620,0.00081728,0.00018314,0.00000340,0.00154367,0.00008160,0.00156605,0.00444697,0.00113212,0.00346111,0.00210257,0.00305463,0.00000551,0.00079619,0.00176615
2012,0.00322755,0.00009315,0.00180057,0.00465676,0.00082543,0.00538276,0.00149327,0.00159502,0.00020645,0.00027835,0.00001501,0.00177830,0.00009302,0.00169748,0.00488601,0.00124802,0.00364252,0.00161885,0.00308948,0.00002475,0.00089344,0.00183553
2013,0.00395798,0.00024310,0.00225291,0.00459047,0.00094484,0.00603110,0.00124289,0.00196011,0.00135403,0.00036676,0.00002550,0.00220127,0.00014468,0.00203945,0.00608031,0.00138518,0.00502182,0.00330941,0.00411687,0.00004048,0.00105334,0.00230298
2014,0.00431502,0.00040712,0.00287070,0.00452428,0.00110172,0.00716959,0.00192825,0.00244398,0.00142443,0.00047686,0.00008162,0.00270753,0.00013537,0.00251429,0.00702518,0.00196913,0.00582726,0.00424471,0.00494337,0.00012136,0.00141567,0.00274512
2015,0.00304469,0.00029275,0.00273267,0.00517773,0.00110719,0.00733050,0.00149008,0.00237245,0.00153799,0.00042075,0.00003770,0.00254691,0.00013535,0.00241282,0.00715083,0.00172126,0.00562950,0.00419310,0.00456768,0.00005903,0.00159319,0.00264544
2016,0.00525454,0.00023133,0.00246231,0.00473526,0.00120498,0.00637727,0.00162961,0.00220819,0.00149670,0.00048957,0.00007532,0.00308549,0.00014665,0.00289909,0.00628731,0.00161928,0.00501093,0.00396460,0.00419086,0.00010949,0.00159893,0.00262275
2017,0.00372447,0.00022350,0.00241238,0.00531603,0.00102766,0.00606435,0.00117256,0.00211280,0.00040159,0.00041404,0.00003941,0.00247746,0.00011034,0.00228718,0.00594786,0.00155671,0.00471304,0.00248490,0.00404224,0.00006198,0.00110750,0.00227133
2018,0.00397796,0.00053296,0.00258875,0.00573095,0.00119701,0.00817959,0.00202684,0.00232902,0.00117015,0.00042448,0.00003705,0.00301476,0.00019487,0.00283572,0.00779303,0.00172287,0.00622465,0.00391621,0.00547993,0.00005225,0.00152055,0.00290236
2019,0.00496219,0.00025414,0.00237320,0.00622837,0.00106189,0.00824345,0.00185788,0.00209412,0.00057000,0.00042236,0.00002943,0.00284709,0.00013176,0.00279052,0.00800338,0.00182635,0.00606702,0.00313035,0.00491485,0.00004714,0.00148871,0.00282591
2020,0.00465329,0.00020264,0.00241447,0.00496522,0.00107468,0.00664174,0.00169023,0.00207289,0.00149622,0.00038988,0.00003590,0.00283927,0.00010509,0.00263234,0.00645296,0.00171093,0.00522604,0.00399556,0.00449166,0.00004632,0.00140906,0.00259745
