diagnostic,panel,prosser_title,uses_vertical_stencil,ours_change_pct,prosser_change_pct,trend_ratio,ours_ci_lo_pct,ours_ci_hi_pct,ours_level_1979_pct,prosser_level_1979_pct,level_ratio,ours_abs_pct_per_yr,prosser_abs_pct_per_yr,ours_t,ours_p,prosser_p,ours_significant,prosser_significant,flags,n_flags
negative_richardson,a,Negative Richardson number,True,40.5717,-7.5,-5.4096,-41.3966,122.5401,0.0193,0.039,0.4936,0.0002,-0.0,1.0004,0.3231,0.6,False,False,LEVEL TREND AXIS,3
colson_panofsky,c,Colson-Panofsky index,True,62.3091,45.4,1.3724,-5.6904,130.3085,0.0393,0.285,0.1378,0.0006,0.003,1.8519,0.0714,0.002,False,True,LEVEL SIG AXIS,3
ncsu1,s,Version 1 of North Carolina State University Index,True,39.0142,4.3,9.0731,20.1331,57.8952,0.4251,0.07,6.0723,0.004,0.0,4.1762,0.0002,0.7,True,False,LEVEL SIG AXIS,3
f2d,d,Frontogenesis function,True,26.2127,0.3,87.3756,-39.0694,91.4947,0.0234,0.055,0.4255,0.0001,0.0,0.8115,0.4219,1.0,False,False,LEVEL AXIS,2
magnitude_pv,j,Magnitude of potential vorticity,False,25.9716,50.6,0.5133,-0.6339,52.5772,0.9933,1.62,0.6132,0.0063,0.02,1.9729,0.0554,0.0,False,True,SIG AXIS,2
ubf,q,Magnitude of residual of nonlinear balance equation,False,19.9514,31.6,0.6314,2.6128,37.29,0.1389,0.72,0.1929,0.0007,0.006,2.3256,0.0252,0.0001,True,True,LEVEL AXIS,2
ti2,h,Variant 2 of Ellrod's turbulence index,True,28.6755,27.0,1.0621,15.2985,42.0525,1.1896,1.37,0.8683,0.0083,0.009,4.3325,0.0001,0.0,True,True,AXIS,1
endlich,n,Wind speed times directional shear,True,37.6725,27.7,1.36,23.0922,52.2527,0.4702,0.92,0.5111,0.0043,0.006,5.2221,0.0,0.0,True,True,AXIS,1
rva_magnitude,u,Magnitude of relative vorticity advection,False,29.0524,29.0,1.0018,10.6868,47.418,0.7476,0.83,0.9007,0.0053,0.006,3.1971,0.0027,0.003,True,True,AXIS,1
vertical_wind_shear,b,Magnitude of vertical shear of horizontal wind,True,39.0097,38.4,1.0159,23.472,54.5474,1.4287,1.68,0.8504,0.0136,0.016,5.0742,0.0,0.0,True,True,,0
brown1,e,Brown index,False,44.5068,45.4,0.9803,30.6823,58.3312,0.761,0.7,1.0871,0.0083,0.008,6.5067,0.0,0.0,True,True,,0
brown2,f,Brown energy dissipation rate,True,46.0536,46.2,0.9968,30.4322,61.675,1.4617,1.6,0.9135,0.0164,0.018,5.9583,0.0,0.0,True,True,,0
ti1,g,Variant 1 of Ellrod's turbulence index,True,44.1704,42.3,1.0442,28.442,59.8987,1.2294,1.4,0.8782,0.0132,0.014,5.6758,0.0,0.0,True,True,,0
deformation,i,Flow deformation,False,37.0169,37.5,0.9871,23.484,50.5498,0.699,0.7,0.9986,0.0063,0.006,5.5283,0.0,0.0,True,True,,0
vorticity_squared,k,Relative vorticity squared,False,39.5103,37.1,1.065,25.0119,54.0087,0.5266,0.47,1.1205,0.0051,0.004,5.5077,0.0,0.0,True,True,,0
temperature_gradient,l,Magnitude of horizontal temperature gradient,False,27.1411,26.0,1.0439,15.9068,38.3754,1.597,1.75,0.9126,0.0106,0.011,4.8828,0.0,0.0,True,True,,0
wind_speed,m,Wind speed,False,73.9308,75.6,0.9779,15.6062,132.2553,0.264,0.28,0.943,0.0048,0.005,2.5619,0.0143,0.02,True,True,,0
ngm1,o,Flow deformation times wind speed,False,52.1689,50.9,1.0249,26.6067,77.731,0.7755,0.83,0.9343,0.0099,0.01,4.1247,0.0002,0.0003,True,True,,0
ngm2,p,Flow deformation times vertical temperature gradient,True,27.9702,33.8,0.8275,5.2801,50.6603,0.1475,0.24,0.6146,0.001,0.002,2.4914,0.017,0.001,True,True,,0
horizontal_divergence,r,Magnitude of horizontal divergence,False,5.1765,6.7,0.7726,-5.4211,15.7742,0.472,0.54,0.8741,0.0006,0.001,0.9872,0.3295,0.2,False,False,,0
nva,t,Negative absolute vorticity advection,False,28.8381,28.4,1.0154,12.0816,45.5946,0.7002,0.72,0.9725,0.0049,0.005,3.4783,0.0012,0.001,True,True,,0
